CodigoOMM;NomeEstacao;Estado;EstadoDesc;EstadoRegiao;Latitude;Longitude;Altitude;EstacaoStituacao;OperanteDesde;Estacao;Data;Hora;Precipitacao;TempBulboSeco;TempBulboUmido;TempMaxima;TempMinima;UmidadeRelativa;PressaoAtmEstacao;PressaoAtmMar;DirecaoVento;VelocidadeVentoInsolacao;Nebulosidade;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;11/02/2018;0000;;24.2;20.1;30.4;;68;944.4;1011.2;14;7;8.6;0;6;24.6;67;7;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;11/02/2018;1200;0.4;24.2;20.4;;20;70;945.2;1012.2;14;7;;8;;;;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;12/02/2018;0000;;24.2;19.7;31.3;;65;944.4;1011.3;14;7;7.9;0;5.9;24.76;77;5;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;12/02/2018;1200;0;23.3;20.7;;20;78;945.4;1012.4;14;3;;9;;;;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;13/02/2018;0000;;24.6;21.7;31.9;;77;944.2;1011.1;14;7;7.3;2;6;24.88;84;4;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;13/02/2018;1200;0.1;24.5;22;;21.2;79;945.3;1012.2;14;3;;10;;;;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;14/02/2018;0000;;23.4;21.8;30.7;;86;945;1012;14;5;6;9;4.6;24.56;75;5;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;14/02/2018;1200;0.6;23.7;21.3;;21.2;80;945.7;1012.9;14;5;;8;;;;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;15/02/2018;0000;;23.6;20;31.7;;72;945.6;1012.8;14;5;7.2;4;5.6;24.34;83;4;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;15/02/2018;1200;0;24.5;21.6;;21.1;76;947.1;1014.2;14;3;;9;;;;;
82989;AGUA BRANCA;AL;Alagoas;Nosdeste;-9.28;-37.9;605.34;Estação Operante;05/05/1928;82989;16/02/2018;0000;;22.2;20.6;27.4;;86;947.4;1014.7;9;5;1.1;8;4.6;23.38;81;4;
