codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation
83738,RESENDE,Rio_de_Janeiro,RJ,Sudeste,-22.45,-44.44,439.89,meters,1944-05-22,operante,operante
82915,RIO BRANCO,Acre,AC,Norte,-9.96,-67.8,160.00,meters,1929-01-01,operante,operante
83743,RIO DE JANEIRO,Rio_de_Janeiro,RJ,Sudeste,-22.89,-43.18,11.10,meters,1917-01-01,operante,operante
83470,RIO VERDE,Goias,GO,Centro-Oeste,-17.8,-50.91,774.62,meters,1971-01-01,operante,operante
83373,RONCADOR,Distrito_Federal,DF,Centro-Oeste,-15.93,-47.88,1100.57,meters,1979-05-28,operante,operante
83410,RONDONOPOLIS,Mato_Grosso,MT,Centro-Oeste,-16.45,-54.56,284.00,meters,1992-01-01,operante,operante
82106,S G DA CACHOEIRA UAUPES,Amazonas,AM,Norte,-0.11,-67,90.00,meters,1920-04-01,operante,operante
82689,SAO GONCALO,Paraiba,PB,Nordeste,-6.75,-38.21,233.06,meters,1938-10-08,operante,operante
83441,SALINAS,Minas_Gerais,MG,Sudeste,-16.15,-42.28,471.32,meters,1925-03-05,operante,operante
83229,SALVADOR  ONDINA,Bahia,BA,Nordeste,-13.01,-38.53,51.41,meters,1903-01-01,operante,operante
83936,SANTA MARIA,Rio_Grande_do_Sul,RS,Sul,-29.7,-53.7,95.00,meters,1912-01-01,operante,operante
83997,SANTA VITORIA DO PALMAR,Rio_Grande_do_Sul,RS,Sul,-33.51,-53.35,24.01,meters,1912-10-01,operante,operante
83726,SAO CARLOS,Sao_Paulo,SP,Sudeste,-21.96,-47.86,856.00,meters,1939-09-24,operante,operante
82668,SAO FELIX DO XINGU,Para,PA,Norte,-6.63,-51.96,206.00,meters,1972-07-07,operante,operante
82879,SAO JOAO DO PIAUI,Piaui,PI,Nordeste,-8.35,-42.25,235.33,meters,1975-09-30,operante,operante
83920,SAO JOAQUIM,Santa_Catarina,SC,Sul,-28.3,-49.93,1415.00,meters,1954-08-01,operante,operante
83267,SAO JOSE DO RIO CLARO,Mato_Grosso,MT,Centro-Oeste,-13.43,-56.71,350.00,meters,1990-03-14,operante,operante
83736,SAO LOURENCO,Minas_Gerais,MG,Sudeste,-22.1,-45.01,953.20,meters,1922-02-04,operante,operante
82280,SAO LUIS,Maranhao,MA,Nordeste,-2.53,-44.21,50.86,meters,1924-11-18,operante,operante
83907,SAO LUIZ GONZAGA,Rio_Grande_do_Sul,RS,Sul,-28.4,-55.01,245.11,meters,1912-04-01,operante,operante
83550,SAO MATEUS,Esperito_Santo,ES,Sudeste,-18.7,-39.85,25.04,meters,1969-06-26,operante,operante
83781,SAO PAULO MIR de SANTANA,Sao_Paulo,SP,Sudeste,-23.5,-46.61,792.06,meters,1945-12-01,operante,operante
83669,SAO SIMAO,Sao_Paulo,SP,Sudeste,-21.48,-47.55,617.39,meters,1920-01-01,operante,operante
82690,SERIDO  CAICO,Rio_Grande_do_Norte,RN,Nordeste,-6.46,-37.08,169.85,meters,1995-03-14,operante,operante
83190,SERRINHA,Bahia,BA,Nordeste,-11.63,-38.96,359.63,meters,1904-02-01,operante,operante
83586,SETE LAGOAS,Minas_Gerais,MG,Sudeste,-19.46,-44.25,732.00,meters,1926-05-03,operante,operante
82392,SOBRAL,Ceara,CE,Nordeste,-3.73,-40.33,109.62,meters,1919-07-01,operante,operante
83851,SOROCABA,Sao_Paulo,SP,Sudeste,-23.48,-47.43,645.00,meters,1928-01-01,operante,operante
82141,SOURE,Para,PA,Norte,-0.73,-48.51,10.49,meters,1928-08-21,operante,operante
83076,STa  R  DE CASSIA  IBIPETUBA,Bahia,BA,Nordeste,-11.01,-44.51,450.30,meters,1911-12-13,operante,operante
82797,SURUBIM,Pernambuco,PE,Nordeste,-7.83,-35.71,418.32,meters,1929-10-01,operante,operante
83235,TAGUATINGA,Tocantins,TO,Norte,-12.4,-46.41,603.59,meters,1915-12-22,operante,operante
82807,TARAUACA,Acre,AC,Norte,-8.16,-70.76,190.00,meters,1966-06-06,operante,operante
82683,TAUA,Ceara,CE,Nordeste,-6,-40.41,398.77,meters,1962-02-01,operante,operante
82317,TEFE,Amazonas,AM,Norte,-3.83,-64.7,47.00,meters,1929-01-04,operante,operante
82578,TERESINA,Piaui,PI,Nordeste,-5.08,-42.81,74.36,meters,1911-03-21,operante,operante
83948,TORRES,Rio_Grande_do_Sul,RS,Sul,-29.35,-49.73,4.66,meters,1913-01-01,operante,operante
82145,TRACUATEUA,Para,PA,Norte,-1.06,-46.9,36.00,meters,1972-09-08,operante,operante
82789,TRIUNFO,Pernambuco,PE,Nordeste,-7.81,-38.11,1105.00,meters,1953-06-01,operante,operante
82361,TUCURUI,Para,PA,Norte,-3.76,-49.66,40.00,meters,1970-01-01,operante,operante
82198,TURIACU,Maranhao,MA,Nordeste,-1.56,-45.36,44.06,meters,1976-07-29,operante,operante
83577,UBERABA,Minas_Gerais,MG,Sudeste,-19.73,-47.95,737.00,meters,1913-10-11,operante,operante
83428,UNAI,Minas_Gerais,MG,Sudeste,-16.36,-46.88,460.00,meters,1976-04-07,operante,operante
83927,URUGUAIANA,Rio_Grande_do_Sul,RS,Sul,-29.75,-57.08,62.31,meters,1912-02-01,operante,operante
82870,VALE DO GURGUEIA  CRISTIANO CASTRO,Piaui,PI,Nordeste,-8.41,-43.71,265.00,meters,1978-08-01,operante,operante
83642,VICOSA,Minas_Gerais,MG,Sudeste,-20.76,-42.86,712.20,meters,1919-10-01,operante,operante
83648,VITORIA,Esperito_Santo,ES,Sudeste,-20.31,-40.31,36.20,meters,1923-11-20,operante,operante
83344,VITORIA DA CONQUISTA,Bahia,BA,Nordeste,-14.88,-40.79,874.81,meters,1936-01-01,operante,operante
83623,VOTUPORANGA,Sao_Paulo,SP,Sudeste,-20.41,-49.98,502.50,meters,1976-07-05,operante,operante
