codigo_omm,station_name,state,state_initials,region,latitude,longitude,altitude,altitude_type,start_operation_date,station_situation,data_situation,data,hora,temp_comp_media,umidade_relativa_media,velocidade_vento_media
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,12/02/2016,0000,26.14,86.5,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,13/02/2016,0000,27.2,79.25,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,14/02/2016,0000,26.52,83.75,0.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,15/02/2016,0000,27.94,81.75,0.866667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,16/02/2016,0000,27.44,87.5,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,17/02/2016,0000,28.62,81,1.066667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,18/02/2016,0000,27.2,81,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,19/02/2016,0000,27.36,85.25,1.066667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,20/02/2016,0000,26.42,87.5,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,21/02/2016,0000,27.56,83.25,0.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,22/02/2016,0000,28.58,78.75,0.6,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,23/02/2016,0000,28.48,87.5,2.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,24/02/2016,0000,26.52,87.75,1.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,25/02/2016,0000,26.58,92.25,1,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,26/02/2016,0000,25.6,95.75,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,27/02/2016,0000,27.18,86.75,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,28/02/2016,0000,27.28,84,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,29/02/2016,0000,27.96,84.75,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,01/03/2016,0000,28,85.5,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,02/03/2016,0000,27.88,82.25,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,03/03/2016,0000,26.92,87.75,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,04/03/2016,0000,28.52,76.75,1.4,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,05/03/2016,0000,28.16,80.75,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,06/03/2016,0000,28.42,77.5,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,07/03/2016,0000,26,93.25,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,08/03/2016,0000,26.52,90,0.333333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,09/03/2016,0000,27.88,82.5,0.666667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,10/03/2016,0000,25,93.5,0,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,11/03/2016,0000,25.9,89.5,1.8,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,12/03/2016,0000,27.72,80.75,0.766667,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,13/03/2016,0000,27.84,84.25,0.433333,
82098,MACAPA,Amapa,AP,Norte,-0.05,-51.11,14.46,meters,1925-01-01,operante,operante,14/03/2016,0000,28.12,81,0.666667,
